model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj,refusal_detected,format_violation,choice_margin,answer_entropy
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.05968347191810608,0.3627468943595886,0.4700463265180588,1.0,0.20783207938075066,0.3456265926361084,0,-0.05968347191810608,0,0,1.0,0.4700463265180588
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.16930662840604782,0.177511066198349,0.07697738730348647,7.125,0.1472514010965824,0.21916814148426056,0,0.16930662840604782,0,0,7.125,0.07697738730348647
Qwen2.5-7B-Instruct,0,mmlu,,0,1,0.016239099204540253,0.028841165825724602,0.36872037686407566,5.25,0.20760349184274673,0.31633004546165466,0,0.016239099204540253,0,0,5.25,0.36872037686407566
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.25773321092128754,0.23420366644859314,0.051379804234102266,15.5,0.2285272255539894,0.40783706307411194,0,-0.25773321092128754,0,0,15.5,0.051379804234102266
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.816406600177288,-0.19214962422847748,0.8323366045951843,0.75,0.12175003439188004,0.17491397261619568,0,-0.816406600177288,0,0,0.75,0.8323366045951843
Qwen2.5-7B-Instruct,0,mmlu,,0,1,-0.5936940908432007,-0.26391637325286865,0.26588381826877594,1.5,0.2573835030198097,0.3498634099960327,0,-0.5936940908432007,0,0,1.5,0.26588381826877594
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.3609743663109839,-0.005012680776417255,0.3090164859313518,11.25,0.31462183594703674,0.3344108760356903,0,-0.3609743663109839,0,0,11.25,0.3090164859313518
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.6408166736364365,0.1620064079761505,0.40805426239967346,1.25,0.22911084443330765,0.23261892795562744,0,-0.6408166736364365,0,0,1.25,0.40805426239967346
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.21814261376857758,0.6353769898414612,0.472776096627058,12.125,0.12021368462592363,0.21311631798744202,0,0.21814261376857758,0,0,12.125,0.472776096627058
Qwen2.5-7B-Instruct,0,mmlu,,0,0,0.026306673884391785,0.5338020324707031,0.16356072627240792,10.75,0.03709983266890049,0.09935785830020905,0,0.026306673884391785,0,0,10.75,0.16356072627240792
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.004902541637420654,0.2651468515396118,0.2936475894020987,12.375,0.07218466605991125,0.12677016854286194,0,0.004902541637420654,0,0,12.375,0.2936475894020987
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.16545143723487854,0.3049340844154358,0.5903341770172119,0.75,0.26752373948693275,0.4111233949661255,0,-0.16545143723487854,0,0,0.75,0.5903341770172119
Qwen2.5-7B-Instruct,0,mmlu,,1,1,0.020439261570572853,0.037001196295022964,0.08283376523377228,14.75,0.21979255974292755,0.3407622277736664,0,0.020439261570572853,0,0,14.75,0.08283376523377228
Qwen2.5-7B-Instruct,0,mmlu,,0,0,-0.4811175540089607,-0.1329660564661026,0.47263333573937416,0.5,0.14516352489590645,0.22198538482189178,0,-0.4811175540089607,0,0,0.5,0.47263333573937416
Qwen2.5-7B-Instruct,0,mmlu,,1,1,-0.1496053859591484,0.21735306084156036,0.2672316818352556,10.5,0.2933741882443428,0.40823403000831604,0,-0.1496053859591484,0,0,10.5,0.2672316818352556
Qwen2.5-7B-Instruct,0,mmlu,,1,0,-0.46154439076781273,0.11659479886293411,0.17893208598252386,8.0,0.2871011309325695,0.534756064414978,0,-0.46154439076781273,0,0,8.0,0.17893208598252386
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.37730200588703156,0.41824495792388916,0.2592447847418953,10.5,0.28661495447158813,0.3659787178039551,0,0.37730200588703156,0,0,10.5,0.2592447847418953
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.025271117687225342,0.7957477569580078,0.33652631117001874,12.375,-0.018984103575348854,0.04745841398835182,0,0.025271117687225342,0,0,12.375,0.33652631117001874
Qwen2.5-7B-Instruct,0,mmlu,,1,0,0.24516188306733966,0.49166402220726013,0.3740784237161279,5.75,0.3151548020541668,0.5580081343650818,0,0.24516188306733966,0,0,5.75,0.3740784237161279
