model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Llama-3.1-8B-Instruct,0,mmlu,,1,0,-0.17670996487140656,0.221103698015213,0.039325373247265816,4.5,0.04915281664580107,0.06892675161361694,0,-0.17670996487140656
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.3020962327718735,0.15689268708229065,0.7043781280517578,2.25,0.13921605795621872,0.16165733337402344,0,-0.3020962327718735
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.22336004674434662,0.22119173407554626,0.05253644101321697,6.0,0.14245926216244698,0.20220911502838135,0,-0.22336004674434662
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.24455119669437408,0.09343088418245316,1.0386585585772992,5.125,0.07946880809031427,0.23143337666988373,0,-0.24455119669437408
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.013818874955177307,0.34374484419822693,0.045085515826940536,7.0,0.11464350577443838,0.24391843378543854,0,-0.013818874955177307
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.13870932161808014,0.27462008595466614,0.011779783410020173,6.875,0.10903236828744411,0.16445636749267578,0,-0.13870932161808014
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.2835055962204933,0.11848662793636322,0.4464800301939249,1.5,0.16147620230913162,0.2167554497718811,0,-0.2835055962204933
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.21697727590799332,0.17956827580928802,0.24182772636413574,2.0,0.0805323775857687,0.15508969128131866,0,-0.21697727590799332
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.1651085913181305,0.30988627672195435,0.6406799890100956,0.0,-0.002220403403043747,0.0918765664100647,0,-0.1651085913181305
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.1898893415927887,0.17789071798324585,0.1300571784377098,4.125,0.10186981782317162,0.11218646168708801,0,-0.1898893415927887
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.20143987238407135,0.3150356709957123,0.5854182507609949,0.125,0.11280089616775513,0.12653817236423492,0,-0.20143987238407135
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.18326511979103088,0.25632649660110474,0.16667508729733527,7.875,0.18106242269277573,0.21742825210094452,0,-0.18326511979103088
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.12718448042869568,0.3007202744483948,0.07869188487529755,4.75,0.11436791345477104,0.15053842961788177,0,-0.12718448042869568
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.24135175347328186,0.24636369943618774,0.5366151183843613,1.0,0.13581163436174393,0.23754476010799408,0,-0.24135175347328186
Llama-3.1-8B-Instruct,0,medqa,,1,1,-0.1489846259355545,0.365566223859787,0.025866664247587323,5.625,0.10388410836458206,0.11714717000722885,0,-0.1489846259355545
Llama-3.1-8B-Instruct,0,medqa,,0,1,-0.2376016080379486,0.08124256134033203,0.017988987732678652,6.5,0.16246762871742249,0.19668126106262207,0,-0.2376016080379486
