model,gamma,dataset,id,y_correct,y_demand,f1,f2,f3,f4,f1_rand,f2_rand,marker_hit,avg_proj
Qwen3-8B,0,mmlu,,1,0,-1.128191515803337,-0.27257785201072693,0.24716715747490525,7.75,0.3181234076619148,0.5725497007369995,0,-1.128191515803337
Qwen3-8B,0,mmlu,,1,0,-1.1343817338347435,-0.2203618735074997,0.5154835460707545,9.25,0.2753647416830063,0.3633524179458618,0,-1.1343817338347435
Qwen3-8B,0,mmlu,,1,1,-1.9166558980941772,-0.6786203384399414,0.36686132848262787,3.25,0.27275752276182175,0.503316342830658,0,-1.9166558980941772
Qwen3-8B,0,mmlu,,1,0,-0.8042873367667198,0.22561223804950714,0.3817260889336467,8.375,0.10912387818098068,0.17429260909557343,0,-0.8042873367667198
Qwen3-8B,0,mmlu,,1,0,-1.0179036296904087,-0.09353388100862503,0.3103196118026972,7.375,0.10344222257845104,0.2038538008928299,0,-1.0179036296904087
Qwen3-8B,0,mmlu,,1,0,-0.9530493170022964,0.11783668398857117,0.22044476866722107,4.625,0.24178078956902027,0.4582628309726715,0,-0.9530493170022964
Qwen3-8B,0,mmlu,,0,1,-1.7667736113071442,-0.6831660866737366,0.5569809377193451,1.625,0.2551860697567463,0.4012780785560608,0,-1.7667736113071442
Qwen3-8B,0,mmlu,,1,0,-0.7271454781293869,0.2732844650745392,0.28410499659366906,9.375,0.18160732090473175,0.2562964856624603,0,-0.7271454781293869
Qwen3-8B,0,mmlu,,0,0,-1.5802905857563019,-0.38843780755996704,0.43790413439273834,2.625,0.2126804143190384,0.3438028395175934,0,-1.5802905857563019
Qwen3-8B,0,mmlu,,0,0,-1.3289411440491676,-0.15449054539203644,0.47574903815984726,3.875,0.21931231021881104,0.3409610688686371,0,-1.3289411440491676
Qwen3-8B,0,mmlu,,1,0,-0.9973083883523941,-0.1364544928073883,0.442250051535666,7.875,0.12040421646088362,0.24092333018779755,0,-0.9973083883523941
Qwen3-8B,0,mmlu,,0,1,-1.6998638212680817,-0.5700758099555969,0.32595404610037804,4.25,0.2863371688872576,0.6210958361625671,0,-1.6998638212680817
Qwen3-8B,0,mmlu,,1,0,-1.2498027458786964,-0.2133510857820511,0.4493689686059952,3.125,0.1974949650466442,0.3285653591156006,0,-1.2498027458786964
Qwen3-8B,0,mmlu,,1,0,-0.3822072669863701,0.807403564453125,0.34443651583012524,11.25,0.11222910979995504,0.3033445477485657,0,-0.3822072669863701
Qwen3-8B,0,mmlu,,1,0,-1.4682307094335556,-0.45931217074394226,0.809558242559433,0.25,0.26593647990375757,0.52298903465271,0,-1.4682307094335556
Qwen3-8B,0,mmlu,,1,0,-1.3486754149198532,-0.33265337347984314,0.8254806697368622,0.0,0.19708483666181564,0.2956506907939911,0,-1.3486754149198532
Qwen3-8B,0,mmlu,,0,1,-1.3947920501232147,-0.5098699927330017,0.6481232643127441,1.375,0.3912131115794182,0.6558611392974854,0,-1.3947920501232147
Qwen3-8B,0,mmlu,,1,1,-1.046839701011777,0.045224931091070175,0.3032573498785496,4.625,0.2640244588255882,0.3876951336860657,0,-1.046839701011777
Qwen3-8B,0,mmlu,,0,0,-1.4723391085863113,-0.36106792092323303,0.6225804388523102,0.25,0.1183110848069191,0.1540297418832779,0,-1.4723391085863113
Qwen3-8B,0,mmlu,,1,1,-1.6135796010494232,-0.6882466673851013,0.3067963384091854,6.625,0.2957829460501671,0.42775410413742065,0,-1.6135796010494232
Qwen3-8B,0,mmlu,,0,1,-1.9358716011047363,-0.4535958766937256,0.5631867796182632,0.5,0.18131661042571068,0.39609575271606445,0,-1.9358716011047363
Qwen3-8B,0,mmlu,,1,0,-1.1129826232790947,-0.06875275075435638,0.5171876712702215,9.5,0.21293501183390617,0.32775744795799255,0,-1.1129826232790947
Qwen3-8B,0,mmlu,,0,0,-1.5497144162654877,-0.34817761182785034,0.9131573736667633,0.875,0.2369515523314476,0.33490461111068726,0,-1.5497144162654877
Qwen3-8B,0,mmlu,,0,1,-1.2686460614204407,-0.31173884868621826,0.4459044672548771,4.75,0.1747458651661873,0.3208572566509247,0,-1.2686460614204407
Qwen3-8B,0,mmlu,,0,0,-1.2903791852295399,-0.025635279715061188,0.4808039963245392,2.5,0.2115780971944332,0.30278247594833374,0,-1.2903791852295399
Qwen3-8B,0,mmlu,,1,0,-1.2480929382145405,-0.09762582927942276,0.5013167858123779,2.875,0.27990248054265976,0.345058798789978,0,-1.2480929382145405
Qwen3-8B,0,mmlu,,1,1,-1.0249778665602207,0.12318288534879684,0.20061756181530654,7.875,0.18390383571386337,0.20434978604316711,0,-1.0249778665602207
Qwen3-8B,0,mmlu,,0,0,-1.0787234660238028,-0.05909569188952446,0.3616072479635477,7.0,0.36090321838855743,0.5050177574157715,0,-1.0787234660238028
Qwen3-8B,0,mmlu,,1,0,-1.207214992493391,-0.06948813050985336,0.2206592914299108,10.0,0.14353056252002716,0.34989142417907715,0,-1.207214992493391
Qwen3-8B,0,mmlu,,0,0,-1.2056909874081612,-0.1851041465997696,0.5778352171182632,3.0,0.13095486536622047,0.13756561279296875,0,-1.2056909874081612
